Datetime,SVD_O2A,SVD_O2B,SVD_O2A_PSII,NIR_v_O2A,NIR_v_O2B,NDVI,fPAR,fesc,Temperature_dataset0,rH,VPD,vwc,Rn,PAR_dataset0,Ca,GPP_dataset0
2021-05-23 16:00:00,0.049754807079273,0.0155073604426845,0,0.266193137255898,0.0209919987114945,0.881333303726686,0.66416141096769,0.373760752270712,22.933,35.7772,-97.293201245136,17.9,358.6088,905.51115,401.819,32.5181142062497
2021-05-23 16:30:00,0.0351743380771797,0.0142811194351055,0,0.279985074957696,0.0223850112928208,0.879289062902096,0.661381094962282,0.372232916939009,22.8069,37.0828,-100.178012557117,17.9,254.0496,673.37925,401.813,27.6257639641058
2021-05-23 17:00:00,0.0315256323971896,0.0119526638373927,0,0.284491070392635,0.0226657306261157,0.879815380977023,0.661712075695563,0.378260619195975,21.7677,40.0442,-101.760880430498,17.9,172.3792,474.36765,400.139,23.3528391247615
2021-05-23 17:30:00,0.0204417104023576,0.00729409478934469,0,0.280714590918354,0.0224017874615373,0.879938873660959,0.66197562836842,0.373143164744155,21.2925,39.9009,-98.4825442846963,17.9,99.7249,301.94715,404.162,17.0930572345838
2021-05-23 18:00:00,0.0114117252953852,0.00433352257996648,0,0.283351269924375,0.0223989501736849,0.880487226764885,0.66350468951033,0.376014183170497,20.5023,39.9615,-93.959103118681,17.9,42.126,169.45485,408.096,12.0269552112711
2021-05-23 18:30:00,0.00928410181598183,0.00307327400698272,0,0.288851103547188,0.0228340393486012,0.880932453345836,0.662880118504986,0.383867767634009,19.9868,43.1402,-98.4390349406449,17.9,18.1649,114.5187,410.693,11.4961677552711
2021-05-23 19:00:00,0.0135292729861798,0.00433945209469258,0,0.269132683690671,0.0212723968256188,0.880260502558228,0.661438005431686,0.358169426998343,19.9588,43.7726,-99.743244822607,17.9,14.1227,109.51185,412.983,11.0259333638228
2021-05-24 06:30:00,0.00721412070411777,0.00160323799232664,0,0.295155470992178,0.0301709589881187,0.846928522194824,0.607327764150995,0.411599142375077,10.2121,96.6504,-119.115456811741,17.9,23.122,81.29925,491.731,2.84834016323453
2021-05-24 07:00:00,0.0124987264766345,0.00412355531844419,0,0.291439382572461,0.0258248482164337,0.866800748917253,0.639047546673954,0.395306853758535,11.4616,95.5405,-127.943380629726,17.9,37.288,139.03395,465.936,5.85561484010945
2021-05-24 07:30:00,0.0190201321248876,0.00595657820083631,0,0.287459272002126,0.0243019534558541,0.873025211015049,0.649791958931165,0.386214677095555,12.1153,91.6374,-128.073511205188,17.9,76.0463,215.55165,450.278,11.6350853990751
